iter	RMSE
0	1.186208806
1	1.185677977
2	1.185003849
3	1.184292378
4	1.183671381
5	1.183103355
6	1.182497231
7	1.182131816
8	1.181620992
9	1.180997314
10	1.180561261
11	1.18021044
12	1.179665237
13	1.179308892
14	1.178934454
15	1.17851189
16	1.17803287
17	1.177867142
18	1.177482252
19	1.177176631
20	1.176650615
21	1.176074168
22	1.175514278
23	1.17522064
24	1.1748952
25	1.174666759
26	1.174353283
27	1.174058733
28	1.173795485
29	1.173432539
30	1.173157045
31	1.172809123
32	1.172570065
33	1.172288085
34	1.172029894
35	1.171908493
36	1.1716632
37	1.171495336
38	1.171129872
39	1.170786196
40	1.170406353
41	1.170197682
42	1.169816415
43	1.169519495
44	1.169345122
45	1.168987243
46	1.168606171
47	1.168417401
48	1.167947108
49	1.167720659
50	1.167565818
51	1.167401615
52	1.167242514
53	1.167086717
54	1.166916797
55	1.166508346
56	1.166226934
57	1.165977933
58	1.16569772
59	1.165512008
60	1.165374486
61	1.165166357
62	1.165006607
63	1.164740855
64	1.164587552
65	1.164353839
66	1.164116118
67	1.163982965
68	1.163752489
69	1.163478792
70	1.163314431
71	1.16312864
72	1.162714773
73	1.162413859
74	1.162077868
75	1.161817371
76	1.161488181
77	1.161210328
78	1.160853008
79	1.160422099
80	1.160233436
81	1.159930852
82	1.159826951
83	1.159686263
84	1.159514551
85	1.159335028
86	1.159152242
87	1.159002259
88	1.158925007
89	1.1587518
90	1.158489919
91	1.158098053
92	1.157907732
93	1.15784143
94	1.157697144
95	1.157475685
96	1.157289745
97	1.157085256
98	1.156970577
99	1.156753508
100	1.156543282
101	1.156466713
102	1.156423966
103	1.156248689
104	1.156061839
105	1.155871545
106	1.155733027
107	1.15559618
108	1.155421473
109	1.155182774
110	1.15498715
111	1.154823046
112	1.154645597
113	1.154540204
114	1.154235662
115	1.154052893
116	1.153927221
117	1.153705314
118	1.153363986
119	1.153293976
120	1.153131105
