iter	Passed	Remaining
0	74	148297
1	88	88634
2	103	69117
3	118	59162
4	133	53465
5	168	56097
6	184	52429
7	197	49291
8	212	46947
9	225	44813
10	238	43082
11	253	41940
12	267	40854
13	279	39647
14	293	38901
15	306	38020
16	325	37982
17	336	37060
18	351	36669
19	364	36134
20	378	35663
21	399	35873
22	414	35606
23	429	35337
24	441	34913
25	453	34430
26	466	34067
27	478	33696
28	490	33366
29	502	33029
30	516	32803
31	532	32764
32	545	32498
33	561	32496
34	575	32318
35	592	32325
36	614	32593
37	632	32636
38	647	32556
39	662	32481
40	677	32348
41	692	32284
42	705	32125
43	722	32111
44	734	31910
45	749	31821
46	763	31712
47	775	31541
48	791	31501
49	803	31333
50	816	31207
51	829	31079
52	842	30949
53	855	30822
54	867	30683
55	881	30602
56	896	30551
57	910	30469
58	923	30378
59	936	30290
60	949	30172
61	963	30131
62	977	30039
63	990	29964
64	1003	29868
65	1018	29832
66	1031	29755
67	1045	29712
68	1061	29697
69	1074	29630
70	1087	29548
71	1100	29459
72	1114	29415
73	1129	29409
74	1145	29389
75	1162	29419
76	1178	29423
77	1194	29429
78	1219	29645
79	1236	29673
80	1258	29804
81	1274	29817
82	1290	29796
83	1306	29808
84	1323	29810
85	1336	29744
86	1349	29681
87	1363	29619
88	1376	29565
89	1392	29545
90	1407	29527
91	1469	30472
92	1483	30428
93	1497	30357
94	1512	30331
95	1526	30278
96	1539	30208
97	1553	30141
98	1566	30070
99	1583	30088
100	1597	30036
101	1619	30131
102	1632	30072
103	1649	30075
104	1663	30028
105	1679	30012
106	1694	29970
107	1712	30000
108	1727	29968
109	1747	30032
110	1762	29996
111	1780	30011
112	1796	30003
113	1813	30005
114	1827	29948
115	1842	29926
116	1855	29865
117	1868	29808
118	1884	29795
119	1897	29732
120	1911	29690
